possible_approaches,possible_weights,possible_penalty,possible_normalization
maxcor,none,none,none
maxcor,none,exponential_penalty,none
maxcor,get_tukey_weights,none,none
maxcor,get_tukey_weights,exponential_penalty,none
maxcor,get_hamming_weights,none,none
maxcor,get_hamming_weights,exponential_penalty,none
maxcor,get_normalized_weights,none,none
maxcor,get_normalized_weights,exponential_penalty,none
minsq,none,none,none
minsq,none,exponential_penalty,none
minsq,get_tukey_weights,none,none
minsq,get_tukey_weights,exponential_penalty,none
minsq,get_hamming_weights,none,none
minsq,get_hamming_weights,exponential_penalty,none
minsq,get_normalized_weights,none,none
minsq,get_normalized_weights,exponential_penalty,none
peak,none,none,none
area,none,none,none
liesefeld_area,none,none,none
liesefeld_p2p_area,none,none,none
